dataset,seed,model,split,extra_dim,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_3,72,GRU_Descriptor,valid,82,0.22999999999999998,0.7333333333333333,0.7444444444444445,0.782962962962963,0.6348497848008865,0.7058823529411765,0.4790539119402764,0.631578947368421,0.8,0.6888888888888889,"{""best_epoch"": 41, ""best_valid_auc"": 0.782962962962963}"
acepair_cls_2_3,72,GRU_Descriptor,test,82,0.22999999999999998,0.574468085106383,0.5794172932330828,0.6649436090225564,0.6018831961134564,0.5348837209302325,0.15593060141367387,0.4791666666666667,0.6052631578947368,0.5535714285714286,"{""best_epoch"": 41, ""best_valid_auc"": 0.782962962962963}"
acepair_cls_2_3,72,GRU_A1PCA,valid,64,0.24999999999999994,0.72,0.7222222222222222,0.7503703703703704,0.6237192094227184,0.676923076923077,0.4364357804719848,0.6285714285714286,0.7333333333333333,0.7111111111111111,"{""best_epoch"": 51, ""best_valid_auc"": 0.7503703703703704}"
acepair_cls_2_3,72,GRU_A1PCA,test,64,0.24999999999999994,0.5957446808510638,0.5930451127819549,0.6607142857142857,0.5443325131532865,0.5365853658536586,0.18301978199501756,0.5,0.5789473684210527,0.6071428571428571,"{""best_epoch"": 51, ""best_valid_auc"": 0.7503703703703704}"
acepair_cls_2_3,72,GRU_Descriptor_A1PCA,valid,146,0.63,0.7333333333333333,0.6944444444444444,0.7548148148148149,0.6464861417888503,0.6,0.43082021842766455,0.75,0.5,0.8888888888888888,"{""best_epoch"": 3, ""best_valid_auc"": 0.7548148148148149}"
acepair_cls_2_3,72,GRU_Descriptor_A1PCA,test,146,0.63,0.6914893617021277,0.6353383458646616,0.7156954887218046,0.633061956389578,0.4727272727272727,0.3451173939574568,0.7647058823529411,0.34210526315789475,0.9285714285714286,"{""best_epoch"": 3, ""best_valid_auc"": 0.7548148148148149}"
acepair_cls_2_3,82,GRUOnly,valid,0,0.43999999999999995,0.7066666666666667,0.711111111111111,0.6977777777777778,0.592596063825715,0.6666666666666666,0.4140229519583885,0.6111111111111112,0.7333333333333333,0.6888888888888889,"{""best_epoch"": 75, ""best_valid_auc"": 0.6977777777777778}"
acepair_cls_2_3,82,GRUOnly,test,0,0.43999999999999995,0.7021276595744681,0.7034774436090225,0.7453007518796994,0.6557318860687897,0.6585365853658537,0.40024023032243744,0.6136363636363636,0.7105263157894737,0.6964285714285714,"{""best_epoch"": 75, ""best_valid_auc"": 0.6977777777777778}"
acepair_cls_2_3,82,GRU_Descriptor,valid,82,0.29,0.5333333333333333,0.5944444444444444,0.5874074074074075,0.5009430514520496,0.6067415730337079,0.22588495146741192,0.4576271186440678,0.9,0.28888888888888886,"{""best_epoch"": 8, ""best_valid_auc"": 0.5874074074074075}"
acepair_cls_2_3,82,GRU_Descriptor,test,82,0.29,0.5212765957446809,0.581296992481203,0.7335526315789473,0.6315261960676234,0.6017699115044248,0.1986931316359299,0.4533333333333333,0.8947368421052632,0.26785714285714285,"{""best_epoch"": 8, ""best_valid_auc"": 0.5874074074074075}"
acepair_cls_2_3,82,GRU_A1PCA,valid,64,0.4599999999999999,0.6933333333333334,0.6888888888888889,0.7155555555555556,0.597785612980372,0.6349206349206349,0.37283929381053577,0.6060606060606061,0.6666666666666666,0.7111111111111111,"{""best_epoch"": 14, ""best_valid_auc"": 0.7155555555555556}"
acepair_cls_2_3,82,GRU_A1PCA,test,64,0.4599999999999999,0.6382978723404256,0.637218045112782,0.6987781954887218,0.579643217882104,0.5853658536585366,0.2699079613259855,0.5454545454545454,0.631578947368421,0.6428571428571429,"{""best_epoch"": 14, ""best_valid_auc"": 0.7155555555555556}"
acepair_cls_2_3,82,GRU_Descriptor_A1PCA,valid,146,0.05,0.56,0.6166666666666667,0.6622222222222223,0.5402016043391276,0.6206896551724138,0.2676516895156554,0.47368421052631576,0.9,0.3333333333333333,"{""best_epoch"": 26, ""best_valid_auc"": 0.6622222222222223}"
acepair_cls_2_3,82,GRU_Descriptor_A1PCA,test,146,0.05,0.5106382978723404,0.5681390977443609,0.7048872180451128,0.6136171494984599,0.5892857142857143,0.1634110153167287,0.44594594594594594,0.868421052631579,0.26785714285714285,"{""best_epoch"": 26, ""best_valid_auc"": 0.6622222222222223}"
